Knowledge,Enthusiasm,Organization,Preparedness,Ability to Explain Difficult Concepts,Speaking Ability,Approachability,Encourages Discussion,Effectiveness of Examples,Numerical Rating,Rating
3.816917045,3.340500856,3.716110059,3.482026765,3.713043322,3.962637417,3.544682707,3.289187106,3.467306982,3.593719122,Unsatisfactory
3.300582895,3.837269789,3.585184109,3.846534071,3.553178282,3.322500262,3.052239583,3.632540702,3.445414486,3.499036238,Unsatisfactory
3.482968474,3.364877363,3.587005282,3.193270629,3.512397659,3.81067167,3.497468687,3.810445765,3.364458279,3.503189683,Unsatisfactory
3.418110651,3.722020955,3.51827035,3.804947636,3.810020864,3.479825774,3.38593308,3.631626485,3.7066162,3.614692079,Below Average
3.524269443,3.72907175,3.725897619,3.104491892,3.635997121,3.588665918,3.551457304,3.984992131,3.533005957,3.598283215,Unsatisfactory
3.768181679,3.838149343,3.580662815,3.470605452,3.932382747,3.493309946,3.290129812,3.646618101,3.538792603,3.635652013,Below Average
3.752076445,3.420435329,3.783733336,3.472488591,3.354978883,3.379860233,3.434666184,3.79392674,3.610953442,3.543558991,Unsatisfactory
4.077659076,3.76633627,3.728899406,3.699365585,3.77796465,3.684213717,3.692613042,3.353475017,3.861777891,3.753976653,Below Average
3.45524074,3.612165242,3.734593484,3.508050597,3.670124728,3.35396842,3.709731368,3.688843977,3.665331718,3.605359677,Below Average
3.368835776,3.977566344,3.547949132,3.312356808,3.598262988,3.480885512,3.634845958,3.686149279,3.683442778,3.597942441,Unsatisfactory
3.740120075,3.584878345,3.542893373,3.819152815,3.958450598,3.684226774,3.490151817,3.074950997,3.518369441,3.620909199,Below Average
3.647457944,3.615328698,3.404036339,3.750348239,3.908119319,3.25575483,3.442775725,3.857820579,3.493964606,3.610381347,Below Average
3.753982283,3.954003766,3.627560029,3.683307778,3.538096305,3.561543458,3.944382662,3.27749351,3.777792351,3.69275273,Below Average
3.576934055,3.764738924,3.805015454,3.414478994,3.560062628,3.701899509,3.683962055,3.658247652,3.997266623,3.685783169,Below Average
3.394452208,3.48873456,3.607042186,3.755906835,4.06814768,3.716958559,3.293150864,3.725098088,3.886276777,3.666854941,Below Average
3.453607894,3.347070294,3.819399618,3.403874784,3.569152145,3.670526525,3.33262903,3.765761709,3.261047586,3.497026298,Unsatisfactory
3.615462989,3.611658966,3.202719345,3.597607143,3.661082156,3.781486939,3.604064831,3.333505336,3.445044553,3.55019068,Unsatisfactory
3.775577982,3.709694504,3.589845115,3.858046485,3.591221315,3.24635705,3.772647178,3.678724481,3.657456489,3.658682745,Below Average
3.471909718,3.417525785,3.976364896,3.324142018,3.58454417,3.324489088,3.340245798,3.546752428,3.579519407,3.505296029,Unsatisfactory
3.46575417,3.980564327,3.593659803,3.473175656,3.767048267,3.844753519,3.811700043,3.744822432,3.687892433,3.714791499,Below Average
3.636189006,3.829947201,3.658764209,3.674841591,3.695059222,3.459927185,3.667453822,3.465868478,3.32724292,3.608994918,Below Average
3.466467822,3.758858651,3.237205681,3.712381979,3.434630004,3.762297315,3.81461498,3.809338532,3.840996622,3.644259783,Below Average
3.606167034,3.539966611,3.613635311,3.509321206,3.211387912,3.946866268,3.277587409,3.235130325,3.523507236,3.477597335,Unsatisfactory
3.893569774,3.697930177,3.886899508,3.74547764,3.889519357,3.655603712,3.419896838,3.240203493,3.662462117,3.688714711,Below Average
3.632920947,3.47668582,3.805740119,3.939284713,3.670498295,3.71475699,3.348990687,3.684096529,3.715107856,3.650877205,Below Average
3.592034197,3.805756062,3.542744835,3.694887424,3.675950721,3.686307458,3.652423743,3.456600168,3.309496395,3.604854995,Below Average
3.446208606,3.579167621,3.741123294,3.700276465,3.86224397,3.530803899,4.119712399,3.694665339,4.342292942,3.795798579,Below Average
3.61845781,3.728290044,3.432666812,3.670798763,3.411558964,3.658425636,3.560086218,3.616289285,3.553504805,3.57677854,Unsatisfactory
3.562353421,3.371027205,3.884582485,3.737173977,3.716472444,3.383045785,3.3733719,3.46288278,3.614682181,3.56579261,Unsatisfactory
3.681512283,3.319445479,3.847825328,3.346175488,3.576927995,3.331279946,3.595559633,3.477752805,3.452883132,3.517919478,Unsatisfactory
3.299267217,3.741538652,3.872605967,3.678820156,4.283792515,3.833418977,4.856202406,3.988542088,4.2625775,4.005377795,Average
4.148369552,4.354390362,4.240299598,3.938339586,3.577625458,4.407352831,3.985711983,4.276303528,3.57911142,4.022586278,Average
4.107685679,4.168590472,3.858104589,3.884092756,4.283014066,3.540534479,3.598502968,3.787771268,4.044983977,3.948655515,Average
3.852691475,4.085440498,4.139031406,3.891467704,3.633048044,3.862831284,3.309189549,3.708859119,4.395348376,3.864923889,Average
4.09355018,3.947847646,3.885790076,4.218144969,3.903788114,3.899370031,3.95058133,4.112714187,4.054391833,4.001590373,Average
3.958532259,4.287329319,3.595276415,3.620446478,3.938477223,4.49101621,3.911745586,4.054267428,4.59767705,4.06050129,Average
4.038599488,3.499502058,3.867091447,4.597878729,3.751289505,4.570181056,3.748881355,3.883760313,3.645910351,3.916507732,Average
4.089021099,3.720031467,3.96379829,3.750111671,4.276978702,4.371767805,4.140308854,4.168959972,4.45685532,4.114353748,Average
4.589132911,3.927118841,3.927863412,3.740154686,3.71664242,4.132212661,3.751611107,4.223861496,3.511015424,3.932454606,Average
4.269732728,4.117942988,3.715252183,3.768865054,4.272379232,3.880518642,4.388079559,3.975955705,3.915559714,4.065119117,Average
3.923642423,3.741885897,4.220512156,3.382468147,4.139044801,3.400947517,3.572965064,4.327244292,3.717028068,3.833661398,Average
4.087097934,4.518196692,3.315983212,3.497447556,3.922485905,3.494626062,4.100086585,4.178810199,3.984718944,3.934346401,Average
